Wed Feb 17 11:14:27 UTC 2010, 3718, 50, Charging
Wed Feb 17 11:14:42 UTC 2010, 3686, 44, Charging
Wed Feb 17 11:14:57 UTC 2010, 3703, 47, Charging
Wed Feb 17 11:15:12 UTC 2010, 3706, 48, Charging
Wed Feb 17 11:15:28 UTC 2010, 3732, 53, Charging
Wed Feb 17 11:15:43 UTC 2010, 3662, 39, Charging
Wed Feb 17 11:15:58 UTC 2010, 3737, 54, Charging
Wed Feb 17 11:16:13 UTC 2010, 3657, 37, Charging
Wed Feb 17 11:16:28 UTC 2010, 3713, 49, Charging
Wed Feb 17 11:16:43 UTC 2010, 3718, 50, Charging
Wed Feb 17 11:16:58 UTC 2010, 3701, 47, Charging
Wed Feb 17 11:17:13 UTC 2010, 3742, 55, Charging
Wed Feb 17 11:17:28 UTC 2010, 3745, 56, Charging
Wed Feb 17 11:17:43 UTC 2010, 3702, 47, Charging
Wed Feb 17 11:17:58 UTC 2010, 3687, 44, Charging
Wed Feb 17 11:18:13 UTC 2010, 3750, 57, Charging
Wed Feb 17 11:18:28 UTC 2010, 3755, 58, Charging
Wed Feb 17 11:18:43 UTC 2010, 3694, 46, Charging
Wed Feb 17 11:18:58 UTC 2010, 3732, 53, Charging
Wed Feb 17 11:19:13 UTC 2010, 3680, 43, Charging
Wed Feb 17 11:19:28 UTC 2010, 3738, 54, Charging
Wed Feb 17 11:19:43 UTC 2010, 3743, 55, Charging
Wed Feb 17 11:19:59 UTC 2010, 3756, 58, Charging
Wed Feb 17 11:20:14 UTC 2010, 3730, 53, Charging
Wed Feb 17 11:20:29 UTC 2010, 3766, 60, Charging
Wed Feb 17 11:20:44 UTC 2010, 3767, 60, Charging
Wed Feb 17 11:20:59 UTC 2010, 3758, 58, Charging
Wed Feb 17 11:21:14 UTC 2010, 3772, 61, Charging
Wed Feb 17 11:21:29 UTC 2010, 3763, 60, Charging
Wed Feb 17 11:21:44 UTC 2010, 3758, 58, Charging
Wed Feb 17 11:21:59 UTC 2010, 3775, 61, Charging
Wed Feb 17 11:22:14 UTC 2010, 3776, 61, Charging
Wed Feb 17 11:22:29 UTC 2010, 3777, 61, Charging
Wed Feb 17 11:22:44 UTC 2010, 3779, 61, Charging
Wed Feb 17 11:22:59 UTC 2010, 3769, 60, Charging
Wed Feb 17 11:23:14 UTC 2010, 3779, 61, Charging
Wed Feb 17 11:23:30 UTC 2010, 3781, 62, Charging
Wed Feb 17 11:23:45 UTC 2010, 3770, 60, Charging
Wed Feb 17 11:24:00 UTC 2010, 3769, 60, Charging
Wed Feb 17 11:24:15 UTC 2010, 3781, 62, Charging
Wed Feb 17 11:24:30 UTC 2010, 3782, 62, Charging
Wed Feb 17 11:24:45 UTC 2010, 3778, 61, Charging
Wed Feb 17 11:25:00 UTC 2010, 3772, 61, Charging
Wed Feb 17 11:25:15 UTC 2010, 3785, 62, Charging
Wed Feb 17 11:25:30 UTC 2010, 3785, 62, Charging
Wed Feb 17 11:25:45 UTC 2010, 3777, 61, Charging
Wed Feb 17 11:26:00 UTC 2010, 3770, 60, Charging
Wed Feb 17 11:26:15 UTC 2010, 3780, 62, Charging
Wed Feb 17 11:26:30 UTC 2010, 3786, 62, Charging
Wed Feb 17 11:26:45 UTC 2010, 3786, 62, Charging
Wed Feb 17 11:27:00 UTC 2010, 3786, 62, Charging
Wed Feb 17 11:27:15 UTC 2010, 3786, 62, Charging
Wed Feb 17 11:27:30 UTC 2010, 3787, 62, Charging
Wed Feb 17 11:27:45 UTC 2010, 3783, 62, Charging
Wed Feb 17 11:28:01 UTC 2010, 3770, 60, Charging
Wed Feb 17 11:28:16 UTC 2010, 3776, 61, Charging
Wed Feb 17 11:28:31 UTC 2010, 3786, 62, Charging
Wed Feb 17 11:28:46 UTC 2010, 3774, 61, Charging
Wed Feb 17 11:29:01 UTC 2010, 3789, 63, Charging
Wed Feb 17 11:29:16 UTC 2010, 3789, 63, Charging
Wed Feb 17 11:29:31 UTC 2010, 3789, 63, Charging
Wed Feb 17 11:29:46 UTC 2010, 3788, 62, Charging
Wed Feb 17 11:30:01 UTC 2010, 3784, 62, Charging
Wed Feb 17 11:30:16 UTC 2010, 3789, 63, Charging
Wed Feb 17 11:30:31 UTC 2010, 3773, 61, Charging
Wed Feb 17 11:30:46 UTC 2010, 3790, 63, Charging
Wed Feb 17 11:31:01 UTC 2010, 3777, 61, Charging
Wed Feb 17 11:31:16 UTC 2010, 3785, 62, Charging
Wed Feb 17 11:31:31 UTC 2010, 3763, 60, Charging
Wed Feb 17 11:31:46 UTC 2010, 3777, 61, Charging
Wed Feb 17 11:32:01 UTC 2010, 3792, 63, Charging
Wed Feb 17 11:32:16 UTC 2010, 3786, 62, Charging
Wed Feb 17 11:32:32 UTC 2010, 3786, 62, Charging
Wed Feb 17 11:32:47 UTC 2010, 3774, 61, Charging
Wed Feb 17 11:33:02 UTC 2010, 3793, 63, Charging
Wed Feb 17 11:33:17 UTC 2010, 3784, 62, Charging
